backers_count,blurb,category,country_displayable_name,creator,goal,location,name,pledged,slug,spotlight,staff_pick,state,urls,usd_pledged,preview_time,fundraising_time,state_change
27,a student design build studio blurring the boundaries of architecture and ceramics and birds,Sculpture,the United States,Kevin Taylor,600.0,"San Francisco, CA",Bird Wall,1369.0,bird wall,True,False,successful,https://www.kickstarter.com/projects/1709491227/bird-wall?ref=discovery_category_newest,1369.0,10,8,8
54,a patch commemorating the sn8 flight from boca chica tx,Art,the United States,Liem Bahneman,325.0,"Bothell, WA",SpaceX SN8 Starship Prototype 12km Hop Patch,1229.0,spacex sn8 starship prototype 12km hop patch,True,False,successful,https://www.kickstarter.com/projects/retrorocketemblems/spacex-sn8-starship-prototype-12km-hop-patch?ref=discovery_category_newest,1229.0,52,7,7
63,we are creating trm movie posters for distribution this is your opportunity to be involved and leave your mark on trm,Digital Art,the United States,Erik van Ingen,1000.0,"Binghamton, NY","""The Real Maine"" movie poster",1637.5,the real maine movie poster,True,False,successful,https://www.kickstarter.com/projects/80857009/the-real-maine-movie-poster?ref=discovery_category_newest,1637.5,2,7,7
26,a video performance piece for the selfdesigned voicing islam major,Performance Art,the United States,Melissa Basaran (deleted),2750.0,"New York, NY",Voicing Islam Video Performance Piece,2750.0,voicing islam video performance piece,True,False,successful,https://www.kickstarter.com/projects/744741310/voicing-islam-video-performance-piece?ref=discovery_category_newest,2750.0,0,37,37
2,providing young artists with creative sponsors to participate in public exhibitions about the next generation of social change,Installations,the United States,Chelsey Everest Eiel,6000.0,"Philadelphia, PA",The Daughters of Revolution Project,75.0,the daughters of revolution project,False,False,failed,https://www.kickstarter.com/projects/1773775377/the-daughters-of-revolution-project?ref=discovery_category_newest,75.0,6,29,29
1,a series of paintings and sculptures  based on the elements fire water  earth wood metal,Mixed Media,the United States,Stuart Zeno,3000.0,"Richmond, VA",The Speech of Elementals,100.0,the speech of elementals,False,False,failed,https://www.kickstarter.com/projects/798556147/the-speech-of-elementals?ref=discovery_category_newest,100.0,17,45,45
2,creating a podcast from the youtube show with the same name,Performance Art,the United States,Hal D. Cottingham,7200.0,"Acworth, GA",Hal's Take on Sports Podcast!,35.0,hals take on sports podcast,False,False,failed,https://www.kickstarter.com/projects/1191468341/hals-take-on-sports-podcast?ref=discovery_category_newest,35.0,7,41,41
168,the marvel era 19821996 a gi joe a real american hero comic collecting guide book and checklist  volume 1,Graphic Novels,the United States,Josh Eggebeen,7000.0,"Moab, UT",After Action Report: The G.I.Joe Comic Collecting Guide Book,11168.0,after action report the gijoe comic collecting guide book,True,False,successful,https://www.kickstarter.com/projects/josheggebeen/after-action-report-the-gijoe-comic-collecting-guide-book?ref=discovery_category_newest,11168.0,27,44,44
452,where art intersects life a cherished tradition continuesall of your contributions directly fund the build and burn of temple 2012,Public Art,the United States,The Temple,30000.0,"Petaluma, CA",The Temple 2012,34439.61,the temple 2012,True,False,successful,https://www.kickstarter.com/projects/thetemple2012/the-temple-2012?ref=discovery_category_newest,34439.61,10,45,45
6,creating my ultimate hula hoop,Performance Art,the United States,Jade Lilian White,60.0,"Jacksonville, FL",Operation: LED Hula Hoop,80.0,operation led hula hoop,True,False,successful,https://www.kickstarter.com/projects/159865415/operation-led-hula-hoop?ref=discovery_category_newest,80.0,21,32,32
19,spookadelia 3 back to the source is a psychedelic immersive art and theatrical experience presented by spectra art space,Installations,the United States,Spectra Art Space,1000.0,"Denver, CO",Spookadelia 3: Back to the Source,1037.0,spookadelia 3 back to the source,True,False,successful,https://www.kickstarter.com/projects/spookadelia3/spookadelia-3-back-to-the-source?ref=discovery_category_newest,1037.0,6,16,16
222,wild times explores wildness in contemporary life via new media social engagement and a 2650 mile hike,Conceptual Art,the United States,Susan Robb,20000.0,"Seattle, WA",Wild Times,20284.0,wild times,True,False,successful,https://www.kickstarter.com/projects/1130079042/wild-times?ref=discovery_category_newest,20284.0,38,30,30
33,invisible house appears as a mirrored landscape artform on wheels inside resides a tiny textile screenprinting studio,Textiles,the United States,Candy Coated (formerly Candy Depew),27500.0,"San Francisco, CA",INVISIBLE HOUSE: A Mirrored Mobile Fabric Printing Studio,2408.0,invisible house a mirrored mobile fabric printing,False,False,failed,https://www.kickstarter.com/projects/invisiblehouse/invisible-house-a-mirrored-mobile-fabric-printing?ref=discovery_category_newest,2408.0,171,21,21
23,become a part of getting ollie the cyclops monster being made ,Sculpture,the United States,Richard Montanari,2500.0,"New Haven, CT",Ollie the Cyclops Monster,4946.0,ollie the cyclops monster,True,False,successful,https://www.kickstarter.com/projects/1396652333/ollie-the-cyclops-monster?ref=discovery_category_newest,4946.0,0,33,33
38,the museum of nervous energy mone is dedicated to unpremeditated and spontaneous expressions of nervous energy defined here as art,Mixed Media,the United States,Hannah Knafo,3000.0,"Brooklyn, NY",The Museum of Nervous Energy (MoNE),3256.0,the museum of nervous energy mone,True,False,successful,https://www.kickstarter.com/projects/961342254/the-museum-of-nervous-energy-mone?ref=discovery_category_newest,3256.0,0,50,50
53,help lou boost her upcycling business that will turn tens of thousands of plastic bags into fun functional wearable art,Mixed Media,the United States,S. Lou Leelyn,350.0,"Wendell, MA",Help Revolutionize Plastic Bag Upcycling,1610.0,help revolutionize plastic bag upcycling,True,False,successful,https://www.kickstarter.com/projects/1658130628/help-revolutionize-plastic-bag-upcycling?ref=discovery_category_newest,1610.0,3,17,17
41,our goal is to install a large kinetic sculpture at gallery row in oakhurst ca created by chris sorensen fresnos man of steel,Public Art,the United States,Sierra Art Trails,5000.0,"Oakhurst, CA",Sierra Art Trails - Sorensen Sculpture Project - Oakhurst CA,5710.0,sierra art trails sorensen sculpture project oakhu,True,False,successful,https://www.kickstarter.com/projects/sierraarttrails/sierra-art-trails-sorensen-sculpture-project-oakhu?ref=discovery_category_newest,5710.0,46,33,33
0,a camera app for minecraft and lego fans built in camera filters and image editor instantly turns photos into block and lego scenes,Digital Art,the United States,Christopher L. Ehrsam,8000.0,"New York, NY",MindCraft - Transforms photos to block and lego scenes.,0.0,mindcraft transforms photos to block and lego scen,False,False,failed,https://www.kickstarter.com/projects/208379080/mindcraft-transforms-photos-to-block-and-lego-scen?ref=discovery_category_newest,0.0,16,60,60
15,i made this awesome little spaceman lamp now i want to start up a production line so everyone can have one,Sculpture,the United States,Matthew Borgatti,2500.0,"New York, NY",Little Spaceman Lamp,1275.0,little spaceman lamp,False,False,failed,https://www.kickstarter.com/projects/gianteye/little-spaceman-lamp?ref=discovery_category_newest,1275.0,80,76,76
61,the vampire verses blood rites is a sketchbook  and art book companion to the comic book series,Comic Books,the United States,Asylum Press,1000.0,"Los Angeles, CA",The Vampire Verses:Blood Rites Sketchbook and Art Book,2180.0,the vampire verses blood rites sketchbook and art book,True,False,successful,https://www.kickstarter.com/projects/asylumpress/the-vampire-verses-blood-rites-sketchbook-and-art-book?ref=discovery_category_newest,2180.0,21,30,30
75,a challenge coin designed to look like a pirate doubloon with freemason/masonic symbolism throughout,Sculpture,the United States,Zak Bradley,800.0,"Fort Myers, FL",Doubloon style Pirate coin with Freemason/Masonic symbolism,2853.0,doubloon style pirate coin with freemason masonic symbolism,True,False,successful,https://www.kickstarter.com/projects/1707962499/doubloon-style-pirate-coin-with-freemason-masonic-symbolism?ref=discovery_category_newest,2853.0,20,14,14
112,south dakota nonprofit project respectorg works to make a large scale sculpture with ucla graduate student bridget beck,Sculpture,the United States,Bridget Beck,6040.0,"Los Angeles, CA",Will Be- a collaborative community sculpture,8096.0,will be a collaborative community sculpture,True,False,successful,https://www.kickstarter.com/projects/638716389/will-be-a-collaborative-community-sculpture?ref=discovery_category_newest,8096.0,5,29,29
24,the chance of my life to make an impact through my labrador retriever art 10 large pieces helping to save a lab a day,Painting,the United States,Sheila Wedegis,1000.0,"Palm Bay, FL","The 2010 Paintings of a Lifetime Project. Ten 40"" x 40"" pieces w/process in a Book",1210.0,the 2010 paintings of a lifetime project ten 40,True,False,successful,https://www.kickstarter.com/projects/38101656/the-2010-paintings-of-a-lifetime-project-ten-40?ref=discovery_category_newest,1210.0,12,84,84
48,we are adult performers collaborating to explore the relationship of art and pornography through a method called contact body printing,Mixed Media,the United States,Ela Darling,5000.0,"Los Angeles, CA",Body Scapes: Art vs. Pornography,5137.0,body scapes art vs pornography,True,False,successful,https://www.kickstarter.com/projects/eladarling/body-scapes-art-vs-pornography?ref=discovery_category_newest,5137.0,0,30,30
155,return the bathroom beacons to burning man in 2014 brighter blinkier and more fun than ever,Public Art,the United States,The Bathroom Beacons Crew,4000.0,"Black Rock City, NV",Burning Man Bathroom Beacons 2014,4307.27,burning man bathroom beacons 2014,True,False,successful,https://www.kickstarter.com/projects/1720377844/burning-man-bathroom-beacons-2014?ref=discovery_category_newest,4307.27,0,16,16
0,my grandmother escaped from estonia with her sister and my mother during ww ii i want to capture her stops in pictures,Video Art,the United States,Ken Owensby,10000.0,"Tallinn, Estonia",My Grandmother's Escape (Canceled),0.0,my grandmothers escape,False,False,canceled,https://www.kickstarter.com/projects/228272158/my-grandmothers-escape?ref=discovery_category_newest,0.0,2,45,1
2,original driftwood sculptures frames unique art photography of nature and beautiful pictures of key west,Sculpture,the United States,Frankie  Moreno,100000.0,"Key West, FL",Moreno's Driftwood Art,30.0,morenos driftwood art,False,False,failed,https://www.kickstarter.com/projects/489350087/morenos-driftwood-art?ref=discovery_category_newest,30.0,23,30,30
5,move to detroit for 1 an inch and help build a new little globally networked city in a city is the short story,Conceptual Art,the United States,Jerry Paffendorf,1.0,"Detroit, MI",LOVELAND Round 3: I'm Not Afraid (Mystery Test Format),144.0,loveland round 3 im not afraid,True,False,successful,https://www.kickstarter.com/projects/jerry/loveland-round-3-im-not-afraid?ref=discovery_category_newest,144.0,0,14,14
22,we are trying to replace the portrait of drew stubbs that was tragically torn down by vandals at the saint,Painting,the United States,amstubbs,500.0,"New Orleans, LA",Rebuild the Drew Stubbs Portrait at the Saint Bar and Lounge,560.0,rebuild the drew stubbs portrait at the saint bar,True,False,successful,https://www.kickstarter.com/projects/1904233474/rebuild-the-drew-stubbs-portrait-at-the-saint-bar?ref=discovery_category_newest,560.0,12,30,30
17,cabaret noir is a collective of creatives who live life as a perpetual and impermanent art defying gravity and defining grace,Performance Art,the United States,Sidonia & Brit,500.0,"Nashville, TN",Cabaret Noir presents: The Masquerade,520.0,cabaret noir presents the masquerade,True,False,successful,https://www.kickstarter.com/projects/1392149656/cabaret-noir-presents-the-masquerade?ref=discovery_category_newest,520.0,38,40,40
22,help us get an extra large vertical tapestry loom for large scale collaborative art projects in our prekindergarten art studio,Textiles,the United States,Sue Liedke,200.0,"Philadelphia, PA",Dream Weavers,619.0,dream weavers,True,False,successful,https://www.kickstarter.com/projects/455535690/dream-weavers?ref=discovery_category_newest,619.0,2,30,30
107,a touring workshop/performance series about forgiveness in collaboration with local organizers and artists,Public Art,the United States,Call Your Mom,5000.0,"Baltimore, MD",Say You’re Sorry: A Traveling Forgiveness Project,7253.0,say youre sorry a traveling forgiveness project,True,True,successful,https://www.kickstarter.com/projects/callyourmom/say-youre-sorry-a-traveling-forgiveness-project?ref=discovery_category_newest,7253.0,136,29,29
24,bring my installation network to an international artistrun conference and curated exhibit in sao paolo brazil this october ,Conceptual Art,the United States,Sara Schnadt,2000.0,"Sao Paulo, Brazil",Bring my installation 'Network' to 'Soft Borders' New Media Art Conference in Brazil,950.0,bring my installation network to soft borders new,False,True,failed,https://www.kickstarter.com/projects/725073352/bring-my-installation-network-to-soft-borders-new?ref=discovery_category_newest,950.0,0,41,41
7,i need more babybel cheese so i can accumulate more wax so that i can make a lifesize human muscle system,Conceptual Art,the United States,Benjamin Cuslidge,500.0,"Sacramento, CA",Babybel Life-Size Human,44.0,babybel life size human,False,False,failed,https://www.kickstarter.com/projects/1181289162/babybel-life-size-human?ref=discovery_category_newest,44.0,0,30,30
