backers_count,blurb,category,country_displayable_name,creator,goal,location,name,pledged,slug,spotlight,staff_pick,state,urls,usd_pledged,preview_time,fundraising_time,state_change
489,three screenprinted posters celebrating the most popular and most notable interplanetary robotic space missions,Space Exploration,the United States,Chop Shop,12000,"Philadelphia, PA",Historic Robotic Spacecraft Poster Series,39131.0,historic robotic spacecraft poster series,True,True,successful,https://www.kickstarter.com/projects/chopshopstore/historic-robotic-spacecraft-poster-series?ref=discovery_category_newest,39131.0,20,40,40
98,have you ever imagined enjoying stereo with portable bluetooth speakers at any place try the ipair and feel personally on the scene,Sound,the United States,Virage,35000,"Los Angeles, CA",iPAIR - Enjoy True Wireless Stereo With Portable BT Speakers,10594.0,ipair enjoy true wireless stereo with portable bt,False,False,failed,https://www.kickstarter.com/projects/virage/ipair-enjoy-true-wireless-stereo-with-portable-bt?ref=discovery_category_newest,10594.0,174,30,30
74,the naked pi is a customizable engraved transparent case for raspberry pi b that allows you to enjoy the beautiful details of the pi,DIY Electronics,the United States,Sharnon Tulabadi,500,"Bangkok, Thailand",The Naked Pi B+,1593.0,the naked pi b,True,True,successful,https://www.kickstarter.com/projects/463050344/the-naked-pi-b?ref=discovery_category_newest,1593.0,0,10,10
1,the only app where you get paid for being a friend w/ instant payouts gps real time tracking safety panic button  much much more,Apps,the United States,Mizzlhunid Allen,6999,"Los Angeles, CA",Stay in & Rent a Friend!,1.0,stay in and rent a friend,False,False,failed,https://www.kickstarter.com/projects/1613468077/stay-in-and-rent-a-friend?ref=discovery_category_newest,1.0,3,34,34
1,sleepngo is a pay per hour safe sleeping  space for people,Software,the United States,Michael Chea,200000,"Upper Darby, PA",SLEEP' N' GO,1.0,bang n go,False,False,failed,https://www.kickstarter.com/projects/299582988/bang-n-go?ref=discovery_category_newest,1.0,1,30,30
11,a revolutionary new concept in custom floating hand tools and accessories marine grade quality equipment in standard and metric sets,Fabrication Tools,the United States,Christopher Urbanek,150000,"Largo, FL",Aqua Tools,762.0,aqua tools,False,False,failed,https://www.kickstarter.com/projects/aquacrafttools/aqua-tools?ref=discovery_category_newest,762.0,176,38,38
21,dmitri x is the periodic table on steroids containing all of the latest scientific data on the elements and links to more,Software,the United States,Darrel Kelley,12000,"Oklahoma City, OK",Dmitri X,141.0,dmitri x,False,False,failed,https://www.kickstarter.com/projects/1311252754/dmitri-x?ref=discovery_category_newest,141.0,2,30,30
1596,"rugged powerful and portable muzen wild mini unleashes stunning sound for your wildest
adventures",Sound,the United States,Muzen Audio,10000,"Pasadena, CA",A Rugged Retro Wireless Speaker For Outdoor Adventures,150451.0,a mini retro military style speaker for outdoor adventurers,True,False,successful,https://www.kickstarter.com/projects/676672855/a-mini-retro-military-style-speaker-for-outdoor-adventurers?ref=discovery_category_newest,150451.0,21,30,30
243,an app that helps people better their financial futures while saying fu to our countrys greedy and phony financial system fingersup,Apps,the United States,Mark Zmarzly,15000,"Omaha, NE",Hip Money App & The FU Movement,21647.02,hip money app and the fu movement,True,False,successful,https://www.kickstarter.com/projects/1121520886/hip-money-app-and-the-fu-movement?ref=discovery_category_newest,21647.02,22,30,30
383,your home wifi just became your whole world wifi with amplifi teleport,Gadgets,the United States,"Ubiquiti Labs, LLC",50000,"Salt Lake City, UT",AmpliFi Teleport : The Home Wi-Fi that Covers the World,56503.0,amplifi teleport the home wi fi that covers the wo,True,False,successful,https://www.kickstarter.com/projects/724114234/amplifi-teleport-the-home-wi-fi-that-covers-the-wo?ref=discovery_category_newest,56503.0,12,16,16
104,simply place it under a litter box to transform your cats own territory into a smart 24/7 health monitor and to provide the best care,Gadgets,the United States,CatLink,2000,"Shanghai, China",WeCare - A Smart Health Monitor for Cats,9137.0,wecare know better about your cats and care their health,True,False,successful,https://www.kickstarter.com/projects/1664907051/wecare-know-better-about-your-cats-and-care-their-health?ref=discovery_category_newest,9137.0,19,30,30
62,a cellular iot development board without the bloated backend infrastructure complete with 40 in free data ready to be scaled,DIY Electronics,the United States,Solinius,7500,"Pittsburgh, PA",Solinius Sparrow: Cellular IoT with Global Connectivity,7624.0,solinius sparrow cellular iot with global connecti,True,False,successful,https://www.kickstarter.com/projects/2006382206/solinius-sparrow-cellular-iot-with-global-connecti?ref=discovery_category_newest,7624.0,37,30,30
721,"the only thing we didnt reinvent was the alphabet
the new bluetooth smart keyboard for ipadpro and ios works for android and windows",Gadgets,the United States,wanmei feng  Vbest tech,30000,"New York, NY","Best folding keyboard got better,up to 1 Year Stand-by Time.",40009.0,best folding keyboard got better with 1 year batte,True,False,successful,https://www.kickstarter.com/projects/ilepo360-keyboard/best-folding-keyboard-got-better-with-1-year-batte?ref=discovery_category_newest,40009.0,16,30,30
57,serious science for serious relationships,Technology,the United States,Rik Foote,25000,"Los Angeles, CA",Relationship DNA,5362.0,relationship dna,False,False,live,https://www.kickstarter.com/projects/659691962/relationship-dna?ref=discovery_category_newest,5362.0,126,29,0
273,node chroma the first bluetooth 40 color sensor that accurately scans any surface color into ios apps,Hardware,the United States,George Yu,15000,"Chattanooga, TN","NODE Chroma, a wireless color scanner for iOS and computers",39473.14,node chroma an accurate bluetooth 40 color sensor,True,False,successful,https://www.kickstarter.com/projects/soldermaster/node-chroma-an-accurate-bluetooth-40-color-sensor?ref=discovery_category_newest,39473.14,12,32,32
14,the jetquad is a highspeed drone powered by four small jetengines,Flight,the United States,FusionFlight LLC (deleted),15000,"Tempe, AZ",JetQuad - Jet-Engine Powered Quadcopter,1277.0,jetquad jet engine powered quadcopter,False,False,failed,https://www.kickstarter.com/projects/airbooster/jetquad-jet-engine-powered-quadcopter?ref=discovery_category_newest,1277.0,123,30,30
7,automated thermal control using sensor technology  the next evolution of outdoor apparel,Wearables,the United States,Acutulus Technologies,60000,"Omaha, NE",ThermoThink,1672.0,thermothink,False,False,failed,https://www.kickstarter.com/projects/thermothink/thermothink?ref=discovery_category_newest,1672.0,144,45,45
7,a virtual reality baseball training and fan experience where the batter faces realistic recreations of actual pitches on a vive or rift,Software,the United States,Dr. Mark A. Jupina,50000,"Villanova, PA",PITCHvr MLB Baseball Fan and Player Training Experiences,7126.0,pitchvr mlb baseball fan and player training experiences,False,False,failed,https://www.kickstarter.com/projects/markxr/pitchvr-mlb-baseball-fan-and-player-training-experiences?ref=discovery_category_newest,7126.0,28,30,30
59,a 3d printing buyers guide for the first time buyer by a first time buyer,3D Printing,the United States,Lance Foust,250,"Laie, HI",First Buyer's Guide for 3D Printers,251.37,first buyers guide for 3d printers,True,False,successful,https://www.kickstarter.com/projects/1574920219/first-buyers-guide-for-3d-printers?ref=discovery_category_newest,251.37,63,35,35
59,shirts built with japanese fabric and nanotechnology to keep your sweat stains hidden and you feeling dry,Wearables,the United States,Progenomics LLC,1000,"Tokyo, Japan",NanoDri Sweat-blocking Shirts from Japan.,5240.0,nanodri sweat blocking shirts from japan,True,False,successful,https://www.kickstarter.com/projects/meshpro/nanodri-sweat-blocking-shirts-from-japan?ref=discovery_category_newest,5240.0,11,30,30
145,four weeks of selflove packaged into five boxes,Young Adult,the United States,Adley Huey,7540,"Murray, UT",Crownby: A Four Week Self-Love Journey,7753.01,crownby a four week self love journey,True,False,successful,https://www.kickstarter.com/projects/crownby/crownby-a-four-week-self-love-journey?ref=discovery_category_newest,7753.01,313,29,29
49,purrrfectly relax cats and dogs with the mowmow pet relaxer,Gadgets,the United States,Chris Spoltore,11000,"Hollywood, CA",MowMow™ Pet Relaxer,4497.0,mowmowtm pet relaxer,False,False,failed,https://www.kickstarter.com/projects/petrelaxer/mowmowtm-pet-relaxer?ref=discovery_category_newest,4497.0,39,30,30
