backers_count,blurb,category,country_displayable_name,creator,goal,location,name,pledged,slug,spotlight,staff_pick,state,urls,usd_pledged,preview_time,fundraising_time,state_change
98,orchestral/choral concert featuring soprano mary jane johnson and members of the atlanta instrumental and vocal community,Classical Music,the United States,Rolando Salazar,15000,"Atlanta, GA",Debut Conducting Concert,15550.0,debut conducting concert,True,False,successful,https://www.kickstarter.com/projects/51394479/debut-conducting-concert?ref=discovery_category_newest,15550.0,3,59,59
32,i am raising funds to support my dream of earning my masters in piano performance at a university in germany,Classical Music,the United States,Benjamin D'Annibale,2000,"Philadelphia, PA",An Afternoon with Benjamin & Beethoven,2190.0,an afternoon with benjamin and beethoven,True,False,successful,https://www.kickstarter.com/projects/benjamindannibale/an-afternoon-with-benjamin-and-beethoven?ref=discovery_category_newest,2190.0,5,31,31
174,every window every character  tell a different story over 60 stories are woven throughout the fabric of these companion pieces,Puzzles,the United States,Mark Ludy,3000,"Fort Collins, CO",TWO EXTRAORDINARY *1000 PIECE* PUZZLES,11893.0,two extraordinary 1000 piece puzzles,True,False,successful,https://www.kickstarter.com/projects/markludy/two-extraordinary-1000-piece-puzzles?ref=discovery_category_newest,11893.0,25,30,30
783,custom character journals for your pathfinder 2e adventure,Tabletop Games,the United States,Beadle & Grimm's Pandemonium Warehouse,25000,"Los Angeles, CA",Beadle & Grimm's Complete Character Chronicles,126781.0,beadle and grimms complete character chronicles,True,False,successful,https://www.kickstarter.com/projects/beadleandgrimms/beadle-and-grimms-complete-character-chronicles?ref=discovery_category_newest,126781.0,50,34,34
60,feline fighting force is an action packed card game about alien cats that battle for control of their planet ages 7 24 players,Playing Cards,the United States,Jan and Marlee Perentin,3800,"Providence, RI",Feline Fighting Force - a kid friendly game,3939.0,feline fighting force a kid friendly game,True,False,successful,https://www.kickstarter.com/projects/780708527/feline-fighting-force-a-kid-friendly-game?ref=discovery_category_newest,3939.0,62,34,34
25,were crowd funding our newest cd fiction  truth this will be our 7th cd that weve put out and were looking forward to it,Country & Folk,the United States,Fox Talent Agency,5000,"Fort Worth, TX",Joey Green - Fiction & Truth CD - Crowd Funded,5030.0,joey green fiction and truth cd crowd funded,True,False,successful,https://www.kickstarter.com/projects/89555282/joey-green-fiction-and-truth-cd-crowd-funded?ref=discovery_category_newest,5030.0,2,59,59
81,leave the gray is the lone canarys longawaited sophomore album this is the first album fully cowritten by heather and jesse,Country & Folk,the United States,The Lone Canary,6000,"Rockford, IL",The Lone Canary: Leave the Gray,6088.0,the lone canary leave the gray,True,False,successful,https://www.kickstarter.com/projects/thelonecanary/the-lone-canary-leave-the-gray?ref=discovery_category_newest,6088.0,48,32,32
137,legend of fat ninja features hours of single player gameplay for ios and android its a fastpaced arcade game and a blast to play,Mobile Games,the United States,Zephyr Games,14500,"New York, NY",Legend of Fat Ninja,14571.0,legend of fat ninja,True,False,successful,https://www.kickstarter.com/projects/zephyrgames/legend-of-fat-ninja?ref=discovery_category_newest,14571.0,7,30,30
115,im very happy to announce that after 3 years of writing and performing i am now planning another full length studio album,Country & Folk,the United States,Corey Nolen,7700,"Birmingham, AL",Corey Nolen Is Making A Studio Album,9205.0,corey nolen is making a studio album,True,False,successful,https://www.kickstarter.com/projects/coreynolenmusic/corey-nolen-is-making-a-studio-album?ref=discovery_category_newest,9205.0,3,30,30
3,jerry miller lead guitarist of moby grape and no 68 in rolling stone top 100 greatest guitarist is ready to show how its done,Blues,the United States,J. T. Brown,4000,"Seattle, WA","Jerry Miller Band, Back to the Top!!!",197.0,jerry miller band back to the top 0,False,False,failed,https://www.kickstarter.com/projects/1554662324/jerry-miller-band-back-to-the-top-0?ref=discovery_category_newest,197.0,0,59,59
70,a childrens book introducing joe the crow highlighting his experiences with the neighborhood and his remarkable ability to speak,Print,the United States,Scott Schefe,3500,"Appleton, WI",Adventures of Joe the Crow,3685.0,the adventures of joe the crow,True,False,successful,https://www.kickstarter.com/projects/1960575354/the-adventures-of-joe-the-crow?ref=discovery_category_newest,3685.0,39,28,28
297,a must have beautiful illustrated playing cards inspired in astrology the zodiac  printed by the united states playing card company,Playing Cards,the United States,Fortuna Playing Cards,7777,"Los Angeles, CA",Zodiac by Fortuna Playing Cards & USPCC - BREAK Kickstarter,12631.0,zodiac by fortuna playing cards and uspcc break kickstarter,True,False,successful,https://www.kickstarter.com/projects/fortunaplayingcards/zodiac-by-fortuna-playing-cards-and-uspcc-break-kickstarter?ref=discovery_category_newest,12631.0,65,29,29
30,the reel news network is a satire news website which takes place in the collective universe of all films tv shows and books,Web,the United States,Reel News Network,15000,"Arlington, VA",The Reel News Network,1825.0,the reel news network,False,False,failed,https://www.kickstarter.com/projects/796691171/the-reel-news-network?ref=discovery_category_newest,1825.0,1,30,30
38,a fun and educational deck of 28 picture cards displaying the colorful life of the san marcos ecosystem,Playing Cards,the United States,Habitat Conservation Plan,2500,"San Marcos, TX",San Marcos River Interpretive Cards,2575.0,san marcos river interpretive cards,True,False,successful,https://www.kickstarter.com/projects/994702491/san-marcos-river-interpretive-cards?ref=discovery_category_newest,2575.0,37,27,27
435,help me unite a magical cast of musicians to bring to life a new classic collection of songs,Music,the United States,SPELLLING,15000,"Berkeley, CA",SPELLLING'S New Record 'The Turning Wheel',20107.42,spelllings new record the turning wheel,True,True,successful,https://www.kickstarter.com/projects/1010767078/spelllings-new-record-the-turning-wheel?ref=discovery_category_newest,20107.42,34,30,30
93,a collection of worship songs born out of prophetic worship moments  years of rootedness my secret anthems  shared,Faith,the United States,Brooke Poindexter,7500,"Tulsa, OK",Author/Finisher: new full-length album by Brooke Poindexter,8136.0,author finisher new full length album by brooke poindexter,True,False,successful,https://www.kickstarter.com/projects/comeon/author-finisher-new-full-length-album-by-brooke-poindexter?ref=discovery_category_newest,8136.0,10,29,29
5,black sunshine games will be hosting the main force of will event at king con 2015  middle georgias gaming convention,Playing Cards,the United States,Catherine Boatman,220,"Valdosta, GA",Bring ARG to KingCon 2015,220.0,bring arg to kingcon 2015,True,False,successful,https://www.kickstarter.com/projects/878428563/bring-arg-to-kingcon-2015?ref=discovery_category_newest,220.0,5,24,24
0,the funds from this kickstarter project will be used to aide in purchasing gopro cameras for authorities around the united states,Web,the United States,Brent Carpenter,10000,"Fort Dodge, IA",GoPro Cameras for Officers Around the United States,0.0,gopro cameras for officers around the united state,False,False,failed,https://www.kickstarter.com/projects/1950871205/gopro-cameras-for-officers-around-the-united-state?ref=discovery_category_newest,0.0,0,30,30
1,dedicated to presenting unique angles on the news of the day with no agenda and objective consideration,Web,the United States,Barbara Casanova,1500,"Alexandria, VA",NoView News,100.0,noview news,False,False,failed,https://www.kickstarter.com/projects/428131952/noview-news?ref=discovery_category_newest,100.0,0,60,60
1,the idea is to provide the news larger mainstream outlets do not provide we are freelancers but we believe we can get the job done,Web,the United States,Kavals Pressen,50000,"Richmond, VA",Online Community Variety News,1.0,online community variety news,False,False,failed,https://www.kickstarter.com/projects/115878241/online-community-variety-news?ref=discovery_category_newest,1.0,3,59,59
71,the reno video game symphonys first album featuring seven pieces arranged for orchestra,Classical Music,the United States,Bob Schuler,2382,"Reno, NV",Reno Video Game Symphony's First Album,4544.0,reno video game symphonys first album,True,False,successful,https://www.kickstarter.com/projects/1461611818/reno-video-game-symphonys-first-album?ref=discovery_category_newest,4544.0,2,30,30
116,arkham relic hunt is a new lovecraftian competitive card game for 24 cultists from squamous studios,Playing Cards,the United States,Squamous Studios,10000,"Portland, OR",Arkham Relic Hunt Revisited,11034.0,arkham relic hunt revisited,True,False,successful,https://www.kickstarter.com/projects/323520698/arkham-relic-hunt-revisited?ref=discovery_category_newest,11034.0,17,30,30
33,encouraging story songs for life occasions daddydaughter wedding kidstoparents fatherson deployment remembering the fallen,Country & Folk,the United States,Chris Blanton,3000,"Atlanta, GA",Family Album,3008.0,family album,True,False,successful,https://www.kickstarter.com/projects/chrisblanton/family-album?ref=discovery_category_newest,3008.0,2129,12,12
101,hey folks we are making a new album everyone knows it takes a lot of money to do so please help us make our dream a reality thanks,Blues,the United States,Cedric Burnside Project,8000,"Olive Branch, MS",Help Keep the Mississippi Hill Country Blues ALIVE!!!!!,9850.0,help keep the mississippi hill country blues alive,True,False,successful,https://www.kickstarter.com/projects/1309598579/help-keep-the-mississippi-hill-country-blues-alive?ref=discovery_category_newest,9850.0,26,30,30
1,im creating a new genre of edm music which is a mix of dirty dubstep and trap im trying to do something thats never been done before,Electronic Music,the United States,Andrew Hindle,12000,"New York, NY",Create a new EDM genre by mixing dirty dub and trap,1.0,create a new edm genre by mixing dirty dub and tra,False,False,failed,https://www.kickstarter.com/projects/2128917373/create-a-new-edm-genre-by-mixing-dirty-dub-and-tra?ref=discovery_category_newest,1.0,0,21,21
7,south sudan is in their second civil war they need your help to get food and protection,Web,the United States,Will Feldman,125,"Columbus, OH",South Sudan: Service Learning Project,251.0,south sudan service learning project,True,False,successful,https://www.kickstarter.com/projects/1455085270/south-sudan-service-learning-project?ref=discovery_category_newest,251.0,2,30,30
20,a book project that seeks to discover what america means to americans,Print,the United States,Lauren Brown,15000,"Atlanta, GA","America, An Autobiography",763.0,america an autobiography,False,False,failed,https://www.kickstarter.com/projects/1153030772/america-an-autobiography?ref=discovery_category_newest,763.0,7,30,30
35,capture your written legacy online over the course of 12 months,Journalism,the United States,Jeremy Schurke,15000,"Orlando, FL",Legacy Year,2727.0,legacy year,False,False,failed,https://www.kickstarter.com/projects/872879511/legacy-year?ref=discovery_category_newest,2727.0,7,30,30
1,"videography photography  podcasting to share the best people/ experiences in car culturer
products that express car culture",Journalism,the United States,Jay Shindledecker,9000,"Los Angeles, CA","Car Culture Project- photo, video, podcast & products",10.0,car culture project photo video podcast and produc,False,False,failed,https://www.kickstarter.com/projects/1879547401/car-culture-project-photo-video-podcast-and-produc?ref=discovery_category_newest,10.0,0,19,19
1,respect the pound is an entertainment platform designed to give support towards the artistic talents of the masses,Web,the United States,Aliscia.Worrell,5000,"New York, NY",Respect The Pound,1.0,respect the pound,False,False,failed,https://www.kickstarter.com/projects/766046007/respect-the-pound?ref=discovery_category_newest,1.0,0,30,30
29,audible symmetry,Rock,the United States,Rob Kurcoba,3000,"Watkins Glen, NY",The Sweats - Audible Symmetry,3166.0,the sweats audible symmetry,True,False,successful,https://www.kickstarter.com/projects/thesweatsalbum/the-sweats-audible-symmetry?ref=discovery_category_newest,3166.0,53,13,13
