backers_count,blurb,category,country_displayable_name,creator,goal,location,name,pledged,slug,spotlight,staff_pick,state,urls,usd_pledged,preview_time,fundraising_time,state_change
74, creating a hqthemed ita bag for your daily or sports needs ,Accessories,the United States,awkwardelia,3000,"Great Neck, NY",✿ HQ Ita Bag ✿,6946.0,hq ita bag,False,False,live,https://www.kickstarter.com/projects/awkwardelia/hq-ita-bag?ref=discovery_category_newest,6946.0,19,20,0
278,the elephant pants brings stylish comfort to everyday life declare victory for your legs legvictory,Ready-to-wear,the United States,Nathan E Coleman,5000,"New York, NY",The Elephant Pants,8426.0,the elephant pants,True,False,successful,https://www.kickstarter.com/projects/nathanecoleman/the-elephant-pants?ref=discovery_category_newest,8426.0,45,30,30
8,unique dog apparel,Pet Fashion,the United States,The Apawthecary,1000,"Albuquerque, NM",The Apawthecary Dog Clothing,191.0,the apawthecary dog clothing,False,True,failed,https://www.kickstarter.com/projects/940401997/the-apawthecary-dog-clothing?ref=discovery_category_newest,191.0,1,30,30
0,universal logos for inspiration motivation and paying it forward,Graphic Design,the United States,Frank L McKenzie,16000,"Plainfield, IL",NGUNS! Never Give Up Never Surrender!,0.0,nguns never give up never surrender,False,False,failed,https://www.kickstarter.com/projects/nguns/nguns-never-give-up-never-surrender?ref=discovery_category_newest,0.0,13,30,30
15,growing international baseball receiving the opportunity to bring equipment and media to a tournament located in singapore,Ready-to-wear,the United States,Michael,700,"Miami, FL",The Baseball Club- Bringing Baseball to Singapore,745.0,the baseball club bringing baseball to singapore,True,False,successful,https://www.kickstarter.com/projects/thebaseballclub/the-baseball-club-bringing-baseball-to-singapore?ref=discovery_category_newest,745.0,6,30,30
24,proudly show off your life achievements of surviving covid19 pandemic with these cute enamel pin,Accessories,the United States,Dimple Square,795,"Los Angeles, CA",COVID-19 Pandemic Achievement Enamel Pins,1094.0,covid 19 pandemic achievement enamel pins,False,False,live,https://www.kickstarter.com/projects/dimplesquare/covid-19-pandemic-achievement-enamel-pins?ref=discovery_category_newest,1094.0,47,30,0
10,customized face swap matching hoodies with you and your fur babys faces for any animal cat dog ferret pig whatever you want,Pet Fashion,the United States,Angela,500,"Chicago, IL",Squad Sweatshirts,1155.0,squad sweatshirts,True,False,successful,https://www.kickstarter.com/projects/188351279/squad-sweatshirts?ref=discovery_category_newest,1155.0,4,20,20
74,we focused on ruggedly feminine gardeners  created gloves that met their needs made of natural  recycled materials,Product Design,the United States,Mary & Tom Garlock,5000,"Portland, OR","WEEDIES | garden gloves that FIT, PROTECT & LAST",5537.0,weedies garden gloves that fit protect and last,True,False,successful,https://www.kickstarter.com/projects/gardenlikeagirl/weedies-garden-gloves-that-fit-protect-and-last?ref=discovery_category_newest,5537.0,31,29,29
13,tough yet elegant military watches medieval legend a modern military machine and a watch that ties modernity and antiquity together,Jewelry,the United States,Pramzius Watches,4152,"Hartford, CT",The Iron Wolf by Pramzius - Legendary Watches,4831.0,the iron wolf by pramzius legendary timekeeping,True,False,successful,https://www.kickstarter.com/projects/pramzius/the-iron-wolf-by-pramzius-legendary-timekeeping?ref=discovery_category_newest,4831.0,208,30,30
3,help kickstart season3 of the single most exciting football league that plays football the way it should be played no pads tackle,Action,the United States,Black and Blue Football League,100000,"Charlotte, NC",The World's Most Violent Football League,115.0,the worlds most violent sport,False,False,failed,https://www.kickstarter.com/projects/bbfl/the-worlds-most-violent-sport?ref=discovery_category_newest,115.0,33,30,30
