backers_count,blurb,category,country_displayable_name,creator,goal,location,name,pledged,slug,spotlight,staff_pick,state,urls,usd_pledged,preview_time,fundraising_time,state_change
0,tanner and booth is a funny story of two cops with opposite views on how to serve and uphold the law in the end they make it work,Comedy,the United States,Dave Scott VanSteemburg,1000,"South Portland, ME",Tanner and Booth,0.0,tanner and booth,False,False,failed,https://www.kickstarter.com/projects/s2sproductions/tanner-and-booth?ref=discovery_category_newest,0.0,119,59,59
10,how far would you go for an estranged friend in their time of need  wouldnt friends do anything for one another,Experimental,the United States,Jared L Carver,500,"Huntsville, TX",I.O.U.1 (A short film),431.0,iou1 a short film,False,False,failed,https://www.kickstarter.com/projects/jaredcarver/iou1-a-short-film?ref=discovery_category_newest,431.0,24,14,14
13,witness the unraveling of a god fearing man as he struggles to keep his daughter after losing his wife inspired by actual events,Horror,the United States,FauxPasFilms,2250,"Chicago, IL",Cellar Secret (dark horror thriller based on actual events),710.0,cellar secret dark horror thriller based on actual,False,False,canceled,https://www.kickstarter.com/projects/fauxpasfilms/cellar-secret-dark-horror-thriller-based-on-actual?ref=discovery_category_newest,710.0,7,40,20
94,a gritty  realistic western set after nuclear disaster  cormac mccarthys the road meets the popular hbo western series deadwood,Webseries,the United States,Ethan Taranto-Kent,5000,"Los Angeles, CA",Mad Nation Season 2,5743.32,mad nation season 2,True,False,successful,https://www.kickstarter.com/projects/290975840/mad-nation-season-2?ref=discovery_category_newest,5743.32,18,30,30
48,adult puberty a parody of 1960sstyle education videos was a darling of comedy film festivals wed like to shoot 3 more of these,Comedy,the United States,Andy Wasif,30000,"Los Angeles, CA","""Adult Puberty: An Educational Web Series""",3478.0,adult puberty an educational web series,False,False,failed,https://www.kickstarter.com/projects/1091408958/adult-puberty-an-educational-web-series?ref=discovery_category_newest,3478.0,66,28,28
17,penitence tells the story of a mysterious gunfighter who literally comes across the devil in the vast deserts of the wild west,Shorts,the United States,Donovan La Pat,1500,"Los Angeles, CA",Penitence: A New Kind of Spaghetti Western,1505.0,penitence a new kind of spaghetti western,True,False,successful,https://www.kickstarter.com/projects/460686152/penitence-a-new-kind-of-spaghetti-western?ref=discovery_category_newest,1505.0,1,30,30
3,a fairfield haunting is m first short film needed funding for film festivals,Horror,the United States,Chris Perello,100,"Myrtle Beach, SC",A Fairfield Haunting - Film Festival Funding,111.0,a fairfield haunting film festival funding,True,False,successful,https://www.kickstarter.com/projects/1198151177/a-fairfield-haunting-film-festival-funding?ref=discovery_category_newest,111.0,1,15,15
186,a new horrorcomedy short film from the director of bad guy 2 and death metal,Shorts,the United States,Chris McInroy,8400,"Austin, TX",We Summoned A Demon,8951.66,we summoned a demon,True,True,successful,https://www.kickstarter.com/projects/62830554/we-summoned-a-demon?ref=discovery_category_newest,8951.66,7,22,22
251,sarah smith lily rabe an artist and hydrologist sets out on a postfire stream survey during which she encounters a sasquatch man,Narrative Film,the United States,Christopher Munch,7500,"Los Angeles, CA","""Letters From the Big Man"" - home video distribution",9660.0,letters from the big man home video distribution,True,True,successful,https://www.kickstarter.com/projects/547992005/letters-from-the-big-man-home-video-distribution?ref=discovery_category_newest,9660.0,6,24,24
92,1974 east germanya young couple attempts to escape to the westseeking freedom by using a handmade rubberboat to cross the baltic sea,Shorts,the United States,"Annika, Nina, Justin",7500,"Los Angeles, CA",Crossing Fences,9516.0,crossing fences,True,False,successful,https://www.kickstarter.com/projects/624046012/crossing-fences?ref=discovery_category_newest,9516.0,27,35,35
4,a man returns home to deal with the death of his younger brother and searches for love meaning and forgiveness in his brothers art,Drama,the United States,Nathan Karimi,45000,"St. Louis, MO",Brush Strokes,120.0,brush strokes,False,False,failed,https://www.kickstarter.com/projects/2080312352/brush-strokes?ref=discovery_category_newest,120.0,0,36,36
127,a young trainhopper is arrested in a small southern town and gets creative to avoid jail time,Narrative Film,the United States,Tristan Bouan,26000,"Durham, NC",Trainhopper,26091.0,trainhopper the movie,True,False,successful,https://www.kickstarter.com/projects/904300269/trainhopper-the-movie?ref=discovery_category_newest,26091.0,31,31,31
283,job hunters is a comedic web series filmed in seattle wa in this dystopian society its not who you know but how you kill,Webseries,the United States,Job Hunters,10000,"Seattle, WA",Job Hunters - Web Series,14125.41,job hunters web series,True,False,successful,https://www.kickstarter.com/projects/132781320/job-hunters-web-series?ref=discovery_category_newest,14125.41,0,30,30
121,an asylum haunted by an evil demon tries to capture the souls of three ghost hunters bent on being famous,Horror,the United States,Mike Gasaway,33000,"Pittsburgh, PA","Help Me First!, a supernatural horror short film.",11937.0,help me first,False,True,failed,https://www.kickstarter.com/projects/1271821223/help-me-first?ref=discovery_category_newest,11937.0,20,30,30
37,lights camera heist a secret second unit hijacks their film companys current terrible production and improves it behind the directors back,Narrative Film,the United States,Sean Parker,7500,"Portland, OR",Coup de Théâtre: A Heist Comedy About Filmmaking,7680.0,coup de theatre a heist comedy about filmmaking 0,True,True,successful,https://www.kickstarter.com/projects/seanparkerfilms/coup-de-theatre-a-heist-comedy-about-filmmaking-0?ref=discovery_category_newest,7680.0,18,30,30
67,weve put a lot of love into this project and now you can help us submit to festivals and host a screening in los angeles,Shorts,the United States,Janelle Renee Pearson,7000,"Truckee, CA",The Untimely End of Ms. Xiang,7161.0,the untimely end of ms xiang,True,False,successful,https://www.kickstarter.com/projects/1281766499/the-untimely-end-of-ms-xiang?ref=discovery_category_newest,7161.0,155,30,30
119,a documentary film about the very unique historically black college named  oakwood university,Documentary,the United States,Sophia Mobley,5700,"Huntsville, AL",The Acorn,8315.0,the acorn,True,True,successful,https://www.kickstarter.com/projects/theacorndoc/the-acorn?ref=discovery_category_newest,8315.0,12,60,60
68,how one man created a lovable childrens character and built a film studio from debris and garbage all to combat childhood obesity,Family,the United States,Michael Schmidt,33000,"Macomb, MI",Help Buddy Bigfoot fight Childhood Obesity! (Canceled),4546.0,help buddy bigfoot fight childhood obesity,False,False,canceled,https://www.kickstarter.com/projects/1890144343/help-buddy-bigfoot-fight-childhood-obesity?ref=discovery_category_newest,4546.0,178,45,37
3,feature length horror film,Horror,the United States,THE NIGHTMARE COLLECTION,10000,"Lompoc, CA",Reckoning of the Clown,111.0,reckoning of the clown,False,False,failed,https://www.kickstarter.com/projects/reckoningoftheclown/reckoning-of-the-clown?ref=discovery_category_newest,111.0,0,59,59
4,i hope to bring more awareness to the innocence lives being taking by law enforcement and that peoples fears are real,Drama,the United States,Tyler Jones,4000,"Las Vegas, NV",Speak or be Silent,89.0,speak or be silent,False,False,failed,https://www.kickstarter.com/projects/tjones501/speak-or-be-silent?ref=discovery_category_newest,89.0,0,60,60
0,bringing back the joy of painting to american television stations im looking to film my version of the joy of painting,Television,the United States,John Guerrero,10000,"San Antonio, TX",Capture Your Dreams On Canves,0.0,capture your dreams on canves,False,False,failed,https://www.kickstarter.com/projects/238877709/capture-your-dreams-on-canves?ref=discovery_category_newest,0.0,17,60,60
41,lila needs intense situations to feel basic human emotions she seduces sam to help her commit crimes but sam ends up falling in love,Romance,the United States,Peter Michael Quinones,6000,"Averill Park, NY",Stealing Love,6006.84,stealing love,True,False,successful,https://www.kickstarter.com/projects/908482273/stealing-love?ref=discovery_category_newest,6006.84,101,30,30
0,go around the united states asking everyone why they hate obama and picking the best ones to make a movie,Comedy,the United States,Dalton,50000,"Graham, TX",Why everyone hates Obama,0.0,why everyone hates obama,False,False,failed,https://www.kickstarter.com/projects/1807674367/why-everyone-hates-obama?ref=discovery_category_newest,0.0,1,40,40
43,love helping an want 2 keep doin it but mailin wins cost at 7 a week add it up  they tryin 2 take my cpu dont let them take my baby,Webseries,the United States,Possum Kokopelli Jones,2000,"Fort Lauderdale, FL",SAVE THE DREAD VAPER SHOW,2658.0,save the dread vaper show,True,False,successful,https://www.kickstarter.com/projects/1399329229/save-the-dread-vaper-show?ref=discovery_category_newest,2658.0,28,30,30
10,be a part of the next movement in entrepreneurship join us  create a practical effective path for people to launch great businesses,Webseries,the United States,Davis Jones,4000,"San Francisco, CA",The 8 Step Business Launch Learning Series from Eazl,4600.0,the 8 step business launch learning series from ea,True,False,successful,https://www.kickstarter.com/projects/davisjones/the-8-step-business-launch-learning-series-from-ea?ref=discovery_category_newest,4600.0,6,27,27
263,weve built a cool theater but its finally time to get a facade on it so that we can actually look like a movie theater  help us,Movie Theaters,the United States,J Moses Ceaser,30000,"Oakland, CA",Finally a Facade for The New Parkway,30060.0,finally a facade for the new parkway,True,False,successful,https://www.kickstarter.com/projects/361301130/finally-a-facade-for-the-new-parkway?ref=discovery_category_newest,30060.0,58,29,29
