backers_count,blurb,category,country_displayable_name,creator,goal,location,name,pledged,slug,spotlight,staff_pick,state,urls,usd_pledged,preview_time,fundraising_time,state_change
4,looking for donations and feedback on my ideas with wood working started out making side grain butcher blocks and jewlry boxes,Woodworking,the United States,Tim,1000.0,"Akron, OH",Wood butcher block,200.0,wood butcher block and jewelry boxes,False,False,failed,https://www.kickstarter.com/projects/240817199/wood-butcher-block-and-jewelry-boxes?ref=discovery_category_newest,200.0,0,30,30
545,logan mcbride was a magical girl with a destiny now shes a 30yearold new yorker with rent to pay projects of earth spotlight,Graphic Novels,the United States,Pat Shand,20000.0,"New York, NY",DESTINY NY: Volume Two -- ONE HOUR LEFT!,26773.0,destiny ny volume two,True,True,successful,https://www.kickstarter.com/projects/patshand/destiny-ny-volume-two?ref=discovery_category_newest,26773.0,114,30,30
444,slim earthfriendly hangers with an innovative notch that eliminates the stretching of collars,Product Design,the United States,Ensu Design,7500.0,"San Francisco, CA",Mozu Hanger - The Friendliest Hanger on the Planet,26752.0,mozu hanger,True,False,successful,https://www.kickstarter.com/projects/1106375862/mozu-hanger?ref=discovery_category_newest,26752.0,776,40,40
9,roboguts steam education program for schools and beginners is a roboguts circuit board lessons and 3d printed parts learn 2 make,DIY,the United States,Walt Perko,3500.0,"Las Vegas, NV",RoboGuts,212.0,roboguts,False,False,failed,https://www.kickstarter.com/projects/2015129836/roboguts?ref=discovery_category_newest,212.0,8,30,30
3,i recently got into making leashes  dog collars out of parachord and want to start my own business tying in the survival aspect,Knitting,the United States,Charles Ambroz (deleted),1000.0,"Hilton Head Island, SC",Survival Dog Collars & Leashes,90.0,survival dog collars and leashes,False,False,failed,https://www.kickstarter.com/projects/915681122/survival-dog-collars-and-leashes?ref=discovery_category_newest,90.0,1,60,60
3,introducing the primal conceps lucille product line based from the popular television show the walking dead made exclusively in usa,Woodworking,the United States,Jamie,100.0,"Midland, TX",Lucy Keychain bats,171.0,lucy keychain bats,True,False,successful,https://www.kickstarter.com/projects/1742330612/lucy-keychain-bats?ref=discovery_category_newest,171.0,6,30,30
13,the match maid is a laundry bag for socks no more lost socks you can store wash dry and keep your dirty socks organized in the bag,Crafts,the United States,Brad and Brittany Page,1000.0,"Scottsdale, AZ",MatchMaid- The Sock Hamper,1102.0,matchmaid the sock hamper,True,False,successful,https://www.kickstarter.com/projects/2102382054/matchmaid-the-sock-hamper?ref=discovery_category_newest,1102.0,137,30,30
6,traditional nonprofit woodworking school needs funding to upgrade tools/shop to accommodate students with disabilities,Woodworking,the United States,William B Morrison,15000.0,"Montpelier, VT",Tools/Shop Upgrade for Traditional Woodworking School,475.0,tools shop upgrade for traditional woodworking sch,False,False,failed,https://www.kickstarter.com/projects/1239791823/tools-shop-upgrade-for-traditional-woodworking-sch?ref=discovery_category_newest,475.0,13,30,30
3,hug buggy is friends with everyone so be hug buggys friend hug buggy is the cute little bug that you cant help but to love,Crafts,the United States,Darius Humphrey and Brenna Humphrey,100.0,"Ansonia, CT",The CUTE Hug Buggy,115.0,the cute hug buggy,True,False,successful,https://www.kickstarter.com/projects/1284757683/the-cute-hug-buggy?ref=discovery_category_newest,115.0,3,60,60
2,an assortment of crocheted items for both children and adults male and female items including hats gloves and scarves slippers etc,Crochet,the United States,Richard B. Munns,600.0,"Los Angeles, CA",Convicted.Creations1,42.0,convictedcreations1,False,False,failed,https://www.kickstarter.com/projects/convictedcreations/convictedcreations1?ref=discovery_category_newest,42.0,3,30,30
