backers_count,blurb,category,country_displayable_name,creator,goal,location,name,pledged,slug,spotlight,staff_pick,state,urls,usd_pledged,preview_time,fundraising_time,state_change
175,our japanese pub on cape cod will offer yakitori rare whiskey matcha everything street sweets beach bento boxes  chefs tastings,Restaurants,the United States,Rebekah Powers,50000,"Provincetown, MA",TANUKI: A Provincetown Izakaya & Japanese Pastry Shop,50287.0,tanuki a provincetown izakaya and japanese pastry,True,True,successful,https://www.kickstarter.com/projects/976454909/tanuki-a-provincetown-izakaya-and-japanese-pastry?ref=discovery_category_newest,50287.0,108,30,30
291,an otome dating sim that follows the protagonist robin as she enters college and finds friendship love and hopefully herself,Video Games,the United States,Notome Games,13700,"Memphis, TN",Pipe Dream: Visual Novel,16772.0,pipe dream 0,True,False,successful,https://www.kickstarter.com/projects/notomegames/pipe-dream-0?ref=discovery_category_newest,16772.0,316,30,30
14,fantasypimp is a strategy based mmorpg that lets you become a pimp/madame and rule the game in cities across the country,Mobile Games,the United States,"Joey ""hotsauce"" File",15000,"Las Vegas, NV",FantasyPimp,1676.0,fantasypimp,False,False,failed,https://www.kickstarter.com/projects/91671134/fantasypimp?ref=discovery_category_newest,1676.0,87,32,32
23,were opening our chef driven restaurant raw bar  beer garden in annapolis  our brewery in howard county maryland in 2017 go navy,Restaurants,the United States,"Seawolf Brewery, LLC",20000,"Annapolis, MD","Seawolf Brewery, Restaurant, Raw Bar & Beer Garden",1743.0,seawolf brewery restaurant raw bar and beer garden,False,False,failed,https://www.kickstarter.com/projects/1636037448/seawolf-brewery-restaurant-raw-bar-and-beer-garden?ref=discovery_category_newest,1743.0,517,33,33
79,we need our community to help us bring greedi vegan to bedford stuyvesant,Vegan,the United States,Greedi Vegan,35000,"Brooklyn, NY",Greedi Vegan: Opening our 2nd Location in Bed Stuy Bklyn!,7977.0,greedi vegan opening our 2nd location in bed stuy,False,False,failed,https://www.kickstarter.com/projects/greedivegan/greedi-vegan-opening-our-2nd-location-in-bed-stuy?ref=discovery_category_newest,7977.0,13,60,60
267,join us on a journey of mystery  desire as we expand our criticallyacclaimed bakery,Restaurants,the United States,Umber Ahmad,20000,"Manhattan, NY",MAH-ZE-DAHR Bakery: A Journey of Mystery & Desire,35208.11,mah ze dahr bakery a journey of mystery and desire,True,True,successful,https://www.kickstarter.com/projects/1192136769/mah-ze-dahr-bakery-a-journey-of-mystery-and-desire?ref=discovery_category_newest,35208.11,28,27,27
4,flavor and heat meet here,Small Batch,the United States,Dan Piela,5000,"Manchester, CT",What Was I Thinkin' Hot Sauce,95.0,what was i thinkin hot sauce,False,False,failed,https://www.kickstarter.com/projects/1331544208/what-was-i-thinkin-hot-sauce?ref=discovery_category_newest,95.0,18,60,60
216,seattles first glutenfree brewery needs your help to finish our buildout,Drinks,the United States,Ghostfish Brewing Company,30000,"Seattle, WA",Ghostfish Brewing Company - 100% Gluten-Free Beer,31486.0,ghostfish brewing company 100 gluten free beer,True,False,successful,https://www.kickstarter.com/projects/898556630/ghostfish-brewing-company-100-gluten-free-beer?ref=discovery_category_newest,31486.0,6,30,30
2,baking all natural  organic yummy treats,Small Batch,the United States,Heavenly Sinful Delights LLC.,2000,"St. Louis, MO",Heavenly Sinful Delights LLC.,15.0,heavenly sinful delights llc,False,False,failed,https://www.kickstarter.com/projects/1061052972/heavenly-sinful-delights-llc?ref=discovery_category_newest,15.0,53,30,30
0,farm to table gourmet hippy hot dogs made from scratch with free range meats and organic produce mind expanding recipes tastebudtrip,Food Trucks,the United States,brian schurk,3000,"Greensboro, NC",Grateful Gourmet Grub! farm to table: food truck & hot dog !,0.0,grateful gourmet grub farm to table food truck and,False,False,failed,https://www.kickstarter.com/projects/995646064/grateful-gourmet-grub-farm-to-table-food-truck-and?ref=discovery_category_newest,0.0,2,60,60
9,the pizza patrol on wheels will cook in front of the customers home in 6 mins and serving in aluminum dish with no cardboard taste,Food Trucks,the United States,Il Pizzologo USA,90000,"San Diego, CA",IL PIZZOLOGO (THE PIZZA PATROL ON WHEELS ),151.0,il pizzologo the pizza patrol on wheels,False,False,failed,https://www.kickstarter.com/projects/49700468/il-pizzologo-the-pizza-patrol-on-wheels?ref=discovery_category_newest,151.0,9,45,45
11,le potager dacadiana a smallscale farm with the goal of providing local sustainably grown produce and animals,Farms,the United States,Jonathan Olivier,500,"Frozard, LA",New Farmer Providing Fresh Produce to Acadiana,615.0,new farmer providing fresh produce to acadiana,True,False,successful,https://www.kickstarter.com/projects/1731601076/new-farmer-providing-fresh-produce-to-acadiana?ref=discovery_category_newest,615.0,17,30,30
6,hot dogs,Food Trucks,the United States,Alexander Alfines,45000,"Newark, NJ",Jersey (Canceled),68.0,jerseys food truck,False,False,canceled,https://www.kickstarter.com/projects/1190784971/jerseys-food-truck?ref=discovery_category_newest,68.0,964,60,44
2,nonprofit coffee shop dedicated to bringing restoration to survivors of human trafficking and domestic abuse,Drinks,the United States,Riandha & Allister Johnson,10000,"Charlotte, NC",Macchiato's,130.0,macchiatos,False,False,failed,https://www.kickstarter.com/projects/678962099/macchiatos?ref=discovery_category_newest,130.0,2,30,30
2,we just purchased a hot dog truck and want to make it a cool place to go for people that want a great hot dog or snack,Food Trucks,the United States,Beth Goodman,2000,"Medford, NY",HOT DOG BEACH- A Great Hot Dog Experience!,105.0,hot dog beach a great hot dog experience,False,False,failed,https://www.kickstarter.com/projects/dawghause/hot-dog-beach-a-great-hot-dog-experience?ref=discovery_category_newest,105.0,110,30,30
1,southern comfort food  authentic thai cuisine at its best,Food Trucks,the United States,Diversion Mobile Food Truck,5000,"Cleveland, OH",Diversion Mobile Food Truck,50.0,diversion mobile food truck,False,False,failed,https://www.kickstarter.com/projects/diversion/diversion-mobile-food-truck?ref=discovery_category_newest,50.0,0,30,30
188,irresistible baked goods simple satisfying meals beer and wine and the best coffee in townall in a place you can call your own,Spaces,the United States,Savage Goods,20000,"El Paso, TX",Savage Goods Cafe and Bakery,30879.0,savage goods cafe and bakery,True,False,successful,https://www.kickstarter.com/projects/2080104995/savage-goods-cafe-and-bakery?ref=discovery_category_newest,30879.0,54,29,29
114,nutsla provides a healthy mix of 100 real ingredients and a simple diy process allowing you to make your own superfood bars at home,Food,the United States,Adam Kukoff,10000,"New York, NY",NUTSÓLA: The Original DIY Superfood Bar™,15308.0,nutsola the original diy superfood bartm,True,False,successful,https://www.kickstarter.com/projects/nutsola/nutsola-the-original-diy-superfood-bartm?ref=discovery_category_newest,15308.0,96,30,30
1,i want to create unique meatballs including buffalo chicken bbq pork general tsos chicken and thanksgiving turkey meatballs,Small Batch,the United States,Alex Fredericks,100,"Hartford, CT",Meatballs,5.0,meatballs,False,False,failed,https://www.kickstarter.com/projects/1882239354/meatballs?ref=discovery_category_newest,5.0,0,7,7
13,ten years have passed since we left the lions den join us for a memorable night to celebrate the occasion,Events,the United States,Lauren Curtis,9500,"Norfolk, VA",Tallwood High Class of 2007 Reunion,2788.0,tallwood high class of 2007 reunion,False,False,failed,https://www.kickstarter.com/projects/588645519/tallwood-high-class-of-2007-reunion?ref=discovery_category_newest,2788.0,13,25,25
54,we are creating the best beer tasting room experience for you in santa clara san jose california,Drinks,the United States,Seth Hendrickson,20000,"Santa Clara, CA",Golden State Brewery Tasting Room,22028.0,golden state brewery tasting room,True,False,successful,https://www.kickstarter.com/projects/821382368/golden-state-brewery-tasting-room?ref=discovery_category_newest,22028.0,1,30,30
0,please help bring our best friend zachary federbush to college park for an amazing weekend of fun mystery and love,Farms,the United States,Joseph Frankel,200,"College Park, MD",Bring Fed to CP Shabbat Feb 27,0.0,bring fed to cp shabbat feb 27,False,False,failed,https://www.kickstarter.com/projects/1754340530/bring-fed-to-cp-shabbat-feb-27?ref=discovery_category_newest,0.0,0,48,48
23,we have an incredible opportunity to open a taproom and provide our family  friends with the first opportunity to purchase swag,Drinks,the United States,Mark Keller,2000,"Benicia, CA",Bruehol Brewing Taproom & Swag,2335.0,bruehol brewing taproom and swag,True,False,successful,https://www.kickstarter.com/projects/429894478/bruehol-brewing-taproom-and-swag?ref=discovery_category_newest,2335.0,0,30,30
66,worlds first functional nutrition bar with a perfect macronutrient profile for anyone kickstarter exclusive 10mg hemp extract bar,Vegan,the United States,Alexander von Allmen,1000,"Boulder, CO",RESTART | RAW | KETO | PALEO | VEGAN |10 MG HEMP EXTRACT BAR,3665.0,restart raw keto paleo vegan hemp extract bar,True,False,successful,https://www.kickstarter.com/projects/518981404/restart-raw-keto-paleo-vegan-hemp-extract-bar?ref=discovery_category_newest,3665.0,169,54,54
10,help us serve at the 28th annual mlk jr peace  unity celebration,Events,the United States,Abram van der Fluit,535,"Long Beach, CA",The Wrigley BBQ @ Peace & Unity Celebration,635.0,the wrigley bbq peace and unity celebration,True,False,successful,https://www.kickstarter.com/projects/304936900/the-wrigley-bbq-peace-and-unity-celebration?ref=discovery_category_newest,635.0,0,5,5
2,origins tap house mission is  to provide the best beer washington and the northwest has to offer,Drinks,the United States,Origin's Tap House,25000,"Lynnwood, WA",Origin's Tap House,101.0,origins tap house,False,False,failed,https://www.kickstarter.com/projects/originstaphouse/origins-tap-house?ref=discovery_category_newest,101.0,6,30,30
4,thewinepress guide and podcast to worldwide wine and food with global notes and open submissions of recipes and experiences,Drinks,the United States,Andrew Sorrell Ferguson,50000,"Boston, MA",theWinepress,4.0,thewinepress,False,False,failed,https://www.kickstarter.com/projects/thewinepress/thewinepress?ref=discovery_category_newest,4.0,0,56,56
266,11th hour coffee will be creating a coffee bar inspired by quality environment and community,Drinks,the United States,11th Hour Coffee,20000,"Santa Cruz, CA","11th Hour Coffee | Awareness, Expression",20495.0,11th hour coffee awareness expression,True,False,successful,https://www.kickstarter.com/projects/28248948/11th-hour-coffee-awareness-expression?ref=discovery_category_newest,20495.0,133,32,32
