backers_count,blurb,category,country_displayable_name,creator,goal,location,name,pledged,slug,spotlight,staff_pick,state,urls,usd_pledged,preview_time,fundraising_time,state_change
0,please contribute to watch jamison suffer through the torment that is boku no pico,Romance,the United States,Jamison Nickles,100,"Ithaca, NY",Jamison's reaction to Boku no Pico,0.0,jamisons reaction to boku no pico,False,False,failed,https://www.kickstarter.com/projects/800135777/jamisons-reaction-to-boku-no-pico?ref=discovery_category_newest,0.0,0,40,40
153,a dvd of 10 rare silent comedy shorts starring/directed by marcel perez w/new piano scores by ben model from archival 35mm prints,Comedy,the United States,Ben Model,2900,"New York, NY",The Marcel Perez collection - silent film DVD,5330.0,the marcel perez collection silent film dvd,True,False,successful,https://www.kickstarter.com/projects/silentfilm/the-marcel-perez-collection-silent-film-dvd?ref=discovery_category_newest,5330.0,6,28,28
13,the life of henry lethe is about a man suffering from a crippling fear of germs who comes to terms with his illness through an unlikely friendship,Narrative Film,the United States,Zoe Miller,750,"New York, NY",Ex Oblivione (A Senior Thesis Film),781.0,the life of henry lethe senior thesis film,True,False,successful,https://www.kickstarter.com/projects/85992704/the-life-of-henry-lethe-senior-thesis-film?ref=discovery_category_newest,781.0,2,45,45
314,a historical fantasy epic set in 15century africa magical swords dragons love betrayal politics this story has it all,Animation,the United States,Roye Okupe,15000,"Laurel, MD",Malika Animated Series (Episode One/Pilot),20555.0,malika animated series episode one pilot,True,False,successful,https://www.kickstarter.com/projects/youneekstudios/malika-animated-series-episode-one-pilot?ref=discovery_category_newest,20555.0,6,31,31
6,im preparing to launch my own daytime talkshow into the world sparking a world of change one interview at a time,Television,the United States,Emanuel Upshaw,15000,"Detroit, MI",The Emanuel Show,335.0,the emanuel show,False,False,failed,https://www.kickstarter.com/projects/621354458/the-emanuel-show?ref=discovery_category_newest,335.0,37,45,45
415,a documentary about the power and reach of childrens picture books,Documentary,the United States,Storied Studios,40000,"Oakland, CA",Story & Pictures By,43651.0,story and pictures by,True,True,successful,https://www.kickstarter.com/projects/storyandpicturesby/story-and-pictures-by?ref=discovery_category_newest,43651.0,79,29,29
1,messiahsoyrecordscom we seeking to continue to upload service like video production music engineering music distribution  more,Movie Theaters,the United States,Jovany Flores Cruz,15000,"San Juan, Puerto Rico",Messiahsoy Records Movie Production,1.0,messiahsoy records movie production,False,False,failed,https://www.kickstarter.com/projects/1236758515/messiahsoy-records-movie-production?ref=discovery_category_newest,1.0,4,55,55
10,a terrifying slasher film that follows a search  rescue team that begins to disappear as they investigate a cursed local hillside,Horror,the United States,J R. Lazor,6400,"Pittsburgh, PA",ROT HILL- (Full Length Horror Film),1347.0,rot hill full length horror film,False,False,failed,https://www.kickstarter.com/projects/489788981/rot-hill-full-length-horror-film?ref=discovery_category_newest,1347.0,6,36,36
5,the woods is neptunes oasiss very first feature film about a group of teens venturing into a haunted forest in their town,Horror,the United States,Neptune's Oasis,40000,"Plymouth, MA",The Woods (Canceled),41.0,the woods 8,False,False,canceled,https://www.kickstarter.com/projects/neptunesoasis/the-woods-8?ref=discovery_category_newest,41.0,0,59,52
148,a fantastic love story with magic and a lot of heart in the tradition of midnight in paris ghost and serendipity,Fantasy,the United States,Serge Ramelli,440000,"Los Angeles, CA",The Parisian (Feature Film),19089.0,the parisian feature film,False,False,failed,https://www.kickstarter.com/projects/796294059/the-parisian-feature-film?ref=discovery_category_newest,19089.0,10,29,29
91,a quirky unromatic comedy webseries on the trials and tribulations of dating hell by elizabeth hendrickson,Comedy,the United States,Elizabeth Hendrickson,10000,"Los Angeles, CA",30 DAYS MAX,12227.0,30 days max,True,False,successful,https://www.kickstarter.com/projects/784125068/30-days-max?ref=discovery_category_newest,12227.0,103,30,30
73,alex on add meds since he was 10 struggles balancing an overwhelming class schedule college football and an overburdening family,Narrative Film,the United States,Dan Jenski,50000,"Los Angeles, CA",ADDicted Feature Film,50000.0,addicted feature film,True,False,successful,https://www.kickstarter.com/projects/libproductions/addicted-feature-film?ref=discovery_category_newest,50000.0,400,41,41
79,evergreen is a mysterysuspensethriller that covers themes of memory regret family trust and the desire to revisit the past,Thrillers,the United States,David Scott,6500,"Berkeley, CA",Evergreen,6863.0,evergreen,True,False,successful,https://www.kickstarter.com/projects/855133096/evergreen?ref=discovery_category_newest,6863.0,4,28,28
2,help us reach more than the goal of 2000 to grow faster unique creatures zombies slasher blood and lots of practical effects,Horror,the United States,Gerald K,2000,"Nashville, TN","""Brains"" Horror Movie - Help us have Danielle Harris star (Canceled)",208.0,brains horror movie help us have danielle harris s,False,False,canceled,https://www.kickstarter.com/projects/1163074674/brains-horror-movie-help-us-have-danielle-harris-s?ref=discovery_category_newest,208.0,12,25,1
45,with your help season 2 of witl is coming soon does todays dating scene confuse you let my podcast help you figure it all out,Romance,the United States,Madison Shockley III,3200,"Los Angeles, CA",Where Is the Love? | Season 2 Kickstarter,3576.0,where is the love season 2,True,False,successful,https://www.kickstarter.com/projects/witl/where-is-the-love-season-2?ref=discovery_category_newest,3576.0,34,30,30
167,a short film that follows lilith a musician and escort on a day when her two worlds collide,Shorts,the United States,Aoife Williamson,15000,"New York, NY",WORK,16161.0,work 0,True,True,successful,https://www.kickstarter.com/projects/work/work-0?ref=discovery_category_newest,16161.0,12,30,30
2,we are currently in production for our new youtube web series called shrooms an epic fantasy series,Fantasy,the United States,MaryBeth Keller,3000,"Lenoir, NC",Shrooms (YouTube web series),120.0,shrooms youtube web series,False,False,failed,https://www.kickstarter.com/projects/436630667/shrooms-youtube-web-series?ref=discovery_category_newest,120.0,1,30,30
163,"thousands of children are in need of love  support
in southeastern wi there are more children in foster care than available homes",Documentary,the United States,Joey Papa,15000,"Milwaukee, WI",A short film about the foster care crisis.,17075.0,a short film about the foster care crisis,True,True,successful,https://www.kickstarter.com/projects/inthelandofcanaan/a-short-film-about-the-foster-care-crisis?ref=discovery_category_newest,17075.0,1,35,35
268,the liveaction feature film adaptation of graham salisburys bestselling young adult book how far would you go to defend your honor,Narrative Film,the United States,Dana Satler Hankins,50000,"Honolulu, HI",Under the Blood-Red Sun,52035.0,under the blood red sun,True,False,successful,https://www.kickstarter.com/projects/1671611056/under-the-blood-red-sun?ref=discovery_category_newest,52035.0,55,30,30
418,osama bin laden has returned from his watery grave and is making an army of zombie insurgents in afghanistan cue the marines,Narrative Film,the United States,Arrowstorm Entertainment,15000,"Provo, UT",Osombie (feature film),27903.0,osombie feature film,True,False,successful,https://www.kickstarter.com/projects/arrowstorm/osombie-feature-film?ref=discovery_category_newest,27903.0,0,59,59
179,the red lotus is a film about womens rights sisterhood and the human spirit in a dystopian future,Drama,the United States,Shara Ashley Zeiger,6000,"New York, NY",The Red Lotus: A Narrative Film About Women's Rights,10661.0,the red lotus a narrative film about womens rights,True,False,successful,https://www.kickstarter.com/projects/355688550/the-red-lotus-a-narrative-film-about-womens-rights?ref=discovery_category_newest,10661.0,12,30,30
34,sunflowers follows himawari saito a young japaneseamerican girl struggling in the aftermath of a tragic accident,Drama,the United States,"Nguyen ""Carrot"" Ho",7500,"Atlanta, GA",Sunflowers,1571.0,sunflowers 0,False,False,live,https://www.kickstarter.com/projects/sunflowerstheshort/sunflowers-0?ref=discovery_category_newest,1571.0,8,29,0
0,when an obsessive young man begins to follow a certain young woman his actions begin to lead to a loving catastrophe,Thrillers,the United States,Daniel Galt,5000,"Rexburg, ID",Untitled Project: A Mystery/Thriller (Canceled),0.0,ashes a short film,False,False,canceled,https://www.kickstarter.com/projects/498130722/ashes-a-short-film?ref=discovery_category_newest,0.0,1,30,5
1,the life story of george washington carver who revolutionized agriculture by showing farmers how to diversify their crops,Drama,the United States,Alfred Troupe,250000,"Los Angeles, CA",The man who talked to plants/George Washington Carver Story,1.0,the man who talked to plants george washington car,False,False,failed,https://www.kickstarter.com/projects/53863423/the-man-who-talked-to-plants-george-washington-car?ref=discovery_category_newest,1.0,825,30,30
4,help fund my new daily video series sauce farts in which i squeeze sauce/condiment bottles until they make a fart sound,Comedy,the United States,Derek Shoemaker,4000,"Chicago, IL",Ca$h Planet Presents: Sauce Farts,46.0,cah planet presents sauce farts,False,False,failed,https://www.kickstarter.com/projects/965747136/cah-planet-presents-sauce-farts?ref=discovery_category_newest,46.0,13,30,30
40,which stars to bring to hawaiicon 2015 we need the help of  whovians scapers browncoats and gaters to decide,Science Fiction,the United States,HawaiiCon,3000,"Hilo, HI",HawaiiCon 2015,3432.0,hawaiicon 2015,True,False,successful,https://www.kickstarter.com/projects/1271024171/hawaiicon-2015?ref=discovery_category_newest,3432.0,39,30,30
6,somewhere in space in the notsodistant future pop music has been destroyed and there is only one person who can save it kit major,Music Videos,the United States,CAT,200,"Los Angeles, CA",Y2K POP MUSIC VIDEO,216.0,y2k pop music video,True,False,successful,https://www.kickstarter.com/projects/thegreatcaatsby/y2k-pop-music-video?ref=discovery_category_newest,216.0,0,59,59
99,the break of day is a narrative short about a college freshman home for winter break and struggling with the aftermath of sexual assaut,Narrative Film,the United States,Leonora Anzaldua Burke,7500,"Los Angeles, CA",The Break of Day,7940.0,the break of day,True,True,successful,https://www.kickstarter.com/projects/877846883/the-break-of-day?ref=discovery_category_newest,7940.0,3,24,24
8,newlywed trey is crazy in love his new goal in life get his two best friends married but how do they feel about this,Television,the United States,Brick Lions Productions,12000,"Wilmington, NC",The Married One (Canceled),410.0,the married one,False,False,canceled,https://www.kickstarter.com/projects/2044818835/the-married-one?ref=discovery_category_newest,410.0,1,45,36
3,short film,Thrillers,the United States,Ronny A. Vargas,5000,"Salt Lake City, UT",A Teardrop of Deception,12.0,a teardrop of deception,False,False,failed,https://www.kickstarter.com/projects/legionofthetropics/a-teardrop-of-deception?ref=discovery_category_newest,12.0,4,30,30
200,a group of blind dancers prove that anything is possible,Documentary,the United States,Alexandre Peralta,34500,"Sao Paulo, Brazil",Looking at the Stars,34505.0,looking at the stars feature documentary,True,True,successful,https://www.kickstarter.com/projects/2062350660/looking-at-the-stars-feature-documentary?ref=discovery_category_newest,34505.0,5,31,31
103,a man who hides behind a mask gets entangled in a night of drugs and violence will he survive or fall victim to his choices,Shorts,the United States,Trent Dickens,15000,"Biloxi, MS",PANDA - A Neo Noir Short Film,16891.0,panda a neo noir short film,True,False,successful,https://www.kickstarter.com/projects/1332010709/panda-a-neo-noir-short-film?ref=discovery_category_newest,16891.0,8,30,30
75,englishman in la is a hilarious new reality show following a humble british writer thrown into the hollywood grind,Webseries,the United States,Cameron Moir,5000,"Los Angeles, CA",ENGLISHMAN IN L.A - TV SERIES,5210.0,englishman in la tv series,True,False,successful,https://www.kickstarter.com/projects/998475539/englishman-in-la-tv-series?ref=discovery_category_newest,5210.0,6,30,30
44,more than only is a romantic comedy that brings the happy after everything ending that all deserve regardless of sexual orientation,Romance,the United States,Michelle Leigh,15000,"Portland, OR",More Than Only - Feature Film supporting the LGBTQ Community,3055.0,more than only feature film for lgbtq community,False,False,failed,https://www.kickstarter.com/projects/718665002/more-than-only-feature-film-for-lgbtq-community?ref=discovery_category_newest,3055.0,47,29,29
17,my goal is to create a flying tardis from doctor who made out of balloons to fly and spin around at a dallas comiccon event,Science Fiction,the United States,Jason Vaughn,300,"Dallas, TX",Flying Balloon TARDIS from Doctor Who,366.0,flying balloon tardis,True,True,successful,https://www.kickstarter.com/projects/higherhope/flying-balloon-tardis?ref=discovery_category_newest,366.0,2,35,35
3,a young girl discovers herself by allowing her vision to take her to her destiny,Drama,the United States,Cecealia A. Booty,5000,"Houston, TX",Vision,3.0,vision,False,False,failed,https://www.kickstarter.com/projects/1608654417/vision?ref=discovery_category_newest,3.0,33,60,60
3,we are raising money to produce a black comedy film called ketchup on the mustard family,Comedy,the United States,Christopher Furner,25000,"Hollywood, CA",Ketchup on the Mustard Family,201.0,ketchup on the mustard family,False,False,failed,https://www.kickstarter.com/projects/658967439/ketchup-on-the-mustard-family?ref=discovery_category_newest,201.0,0,60,60
832,become a backer and youll see it first for a pledge of only 25 you get both muck films and your name in the actual movie credits,Horror,the United States,Steve Wolsh,250000,"Los Angeles, CA",MUCK: Horror Films for Horror Fans. 4K Ultra HD & No CGI.,266325.0,muck horror films for horror fans 4k ultra hd and,True,False,successful,https://www.kickstarter.com/projects/1384824549/muck-horror-films-for-horror-fans-4k-ultra-hd-and?ref=discovery_category_newest,266325.0,151,60,60
223,irrepressible underwater filmmaker mike degruy was adamant that we are destroying the ocean before weve discovered all thats there,Documentary,the United States,Diving Deep,50000,"Santa Barbara, CA",Diving Deep,69320.0,diving deep,True,False,successful,https://www.kickstarter.com/projects/1845715574/diving-deep?ref=discovery_category_newest,69320.0,36,30,30
16,a comedic web series about two guys who clean up the brutalized remains of murder victims,Webseries,the United States,Sydney Burris,800,"Austin, TX",The Cleaners - web series,800.69,the cleaners web series,True,False,successful,https://www.kickstarter.com/projects/catpokes/the-cleaners-web-series?ref=discovery_category_newest,800.69,5,30,30
0,im working on a film that discusses different types of discrimination people face based on their appearance and how they were raised,Drama,the United States,Dominique Shepherd,5000,"Chicago, IL",Differences,0.0,differences,False,False,failed,https://www.kickstarter.com/projects/729710338/differences?ref=discovery_category_newest,0.0,2,50,50
28,two couples cabin retreat deteriorates when an unexpected old friend shows up and they all get snowed in,Narrative Film,the United States,Ricky Fosheim,10000,"Mammoth Lakes, CA",Uneasy Lies the Mind,10001.0,uneasy lies the mind,True,False,successful,https://www.kickstarter.com/projects/1870627222/uneasy-lies-the-mind?ref=discovery_category_newest,10001.0,9,21,21
108,the glamour  the squalor is raising funds to distribute the film throughout the world,Documentary,the United States,The Glamour & The Squalor,1,"Seattle, WA",The Glamour & The Squalor: Distribution,6256.0,the glamour and the squalor distribution,True,False,successful,https://www.kickstarter.com/projects/glamoursqualorfilm/the-glamour-and-the-squalor-distribution?ref=discovery_category_newest,6256.0,13,11,11
99,mach 9 feature film movie screening at lido theater in newport beach,Narrative Film,the United States,Jamie Heinrich,2500,"Newport Beach, CA",Mach 9 Movie Screening,3342.0,mach 9 movie screening,True,False,successful,https://www.kickstarter.com/projects/jamieheinrich/mach-9-movie-screening?ref=discovery_category_newest,3342.0,6,38,38
2,the year was 2250 when the planet victoria sent out a distress signal leaving the recovery team at the mercy of an ancient species,Science Fiction,the United States,Paul Samuel Scozzafava,3000,"Santa Fe, NM",Terra Victoria,50.0,terra victoria,False,False,failed,https://www.kickstarter.com/projects/431002988/terra-victoria?ref=discovery_category_newest,50.0,104,25,25
6,waiters is a single camera comedy that explores the lives of waiters as they work in a fine dining establishment,Television,the United States,John Rathbun,3000,"Cooperstown Junction, NY",Waiters,480.0,waiters,False,False,failed,https://www.kickstarter.com/projects/1752416392/waiters?ref=discovery_category_newest,480.0,183,50,50
63,a narrative film about fdny firefighter john mcnamara and his wife jennifer and their journey through johns battle with 9/11 cancer,Narrative Film,the United States,Courtney,15000,"Los Angeles, CA",Whatever it Takes: The Story of John and Jennifer McNamara,7319.0,whatever it takes the story of john and jennifer mcnamara,False,False,failed,https://www.kickstarter.com/projects/womanlyways/whatever-it-takes-the-story-of-john-and-jennifer-mcnamara?ref=discovery_category_newest,7319.0,33,45,45
